,asin,reviewerID,overall,reviewTime
536820,B00003CXT9,A31U2QT7SAL7K,3.0,"06 1, 2001"
846765,B0002VEUTO,A2NUHWMHA9XNKV,4.0,"06 8, 2006"
635847,B00005JNTU,A27H9DOUGY9FOS,2.0,"10 4, 2006"
33976,0780625129,AHABFECTNE15I,3.0,"04 5, 2009"
1012390,B000HCO83G,A3UDYY6L2NH3JS,4.0,"10 21, 2008"
1226175,B001P9KR8U,A3A4WQL80WOTMH,5.0,"06 10, 2009"
622616,B00005JMUK,A3AEYDNYCWH2IZ,5.0,"08 17, 2004"
1319827,B0033AGJ5Y,AW1493ZQTQ2ET,2.0,"02 28, 2011"
1479447,B005LAII12,A3LBFWWQGQYV48,2.0,"12 24, 2012"
786256,B0000VCZMK,A2A6NH6DPE0VXR,4.0,"12 10, 2003"
395430,6304007574,A39CX0EE4BZCZC,5.0,"04 21, 2009"
1414988,B004LWZW42,AN9J46667D80O,4.0,"06 3, 2011"
527179,B00003CXJA,A4PPZNQF1X2IY,2.0,"07 23, 2007"
317350,630251004X,A1G9FX1KV45N41,4.0,"08 21, 2004"
202573,6300182975,A1DZKOOMMJM1MI,3.0,"07 17, 2004"
1661491,B00DV1XYTO,A1GD1G8XXPRYQ8,3.0,"10 16, 2013"
897500,B00080ZG10,AY69ZK7G6CNYJ,5.0,"07 19, 2005"
611053,B00005JM0B,A1V3IO23FZFF9L,2.0,"03 15, 2004"
852702,B0002Z16HY,A2E9TRM8096BXU,5.0,"09 1, 2006"
642082,B00005JON3,A1DRKVXO300RUE,5.0,"05 3, 2009"
91692,0790729652,AT7W1EXT0PF2Y,3.0,"12 28, 2005"
617802,B00005JMEW,A1G5LJ8T1IGYC5,5.0,"04 24, 2004"
1161,0310263662,A228JH8V9Y700G,5.0,"10 4, 2005"
101325,0790733420,A1KZQ5DIX0YUE1,5.0,"06 26, 2011"
1270444,B002IKIHE6,A3FDEI5P21XX6S,4.0,"10 10, 2009"
1343244,B003FBNJ4U,A1P98DMX8YUSNW,3.0,"08 10, 2011"
766145,B0000AQS0F,A1FG3A3V5IAEG9,4.0,"08 7, 2005"
1126387,B0010V5SW8,A3O536E2YOKK4Y,4.0,"03 14, 2009"
157024,0792846710,A37OOQQLMMKYR8,4.0,"10 7, 2012"
371750,6303394000,A32AK8FOAZEPE2,5.0,"10 4, 2006"
618288,B00005JMFQ,AT54Q2ERA4PBR,5.0,"10 20, 2013"
409210,6304239149,A3UDYY6L2NH3JS,5.0,"03 24, 2012"
521834,B00003CX9I,AGVWTYW0ULXHT,4.0,"03 5, 2008"
518672,B00003CWQ2,A2Z9XBCYT3AHHU,5.0,"12 20, 2000"
529556,B00003CXN3,A2OXDJP1Z3LNOK,5.0,"06 6, 2001"
752369,B000095WW8,ABS6VJX1KCAW4,3.0,"08 29, 2003"
402916,6304117752,A2R6RA8FRBS608,5.0,"06 6, 2004"
1476692,B005LAIHYU,A29TKSIWA3JKF3,2.0,"03 30, 2013"
383497,6303651453,A3R2YB0WTTB0IJ,4.0,"12 24, 1998"
213910,6300214605,A3FEX9SZ1CZIZ7,4.0,"11 18, 2001"
1113845,B000XA5K48,A1LBB6NJO9WZEZ,1.0,"12 26, 2007"
1589255,B009934S5M,A2XHOLOLKGV1FE,5.0,"05 20, 2013"
1305729,B002ZG983M,A141HP4LYPWMSR,5.0,"07 8, 2011"
594547,B00005JL3A,A1VCLTAGM5RLND,5.0,"07 23, 2005"
145528,079284078X,A2AOZQ3WTNVVOK,3.0,"02 5, 2005"
229010,6300249964,AYWAY5MKLAITN,5.0,"03 9, 2006"
983742,B000F6IOBG,A1E1ZXFK18L9OR,2.0,"09 30, 2006"
1604347,B00A2H9QN8,A41BRBD6IWGOH,4.0,"03 12, 2013"
617946,B00005JMEW,A1R9GZ8FC44MF5,5.0,"08 6, 2004"
71817,0783243499,A3O5T5VAQ3TD17,5.0,"11 10, 2011"
1177711,B001CTA1UM,A1EHTFVSD0H7I6,3.0,"12 7, 2009"
784903,B0000VAFNQ,A1ERZIZ48CBCSB,1.0,"12 30, 2003"
224121,6300218066,A2GA2SO3YK6CXI,5.0,"04 14, 2007"
583635,B00005JH9M,A2RKI7RPP5CJMG,4.0,"04 30, 2005"
1261444,B002BWP4A6,A2FRKEXDXDN1KI,5.0,"07 16, 2010"
576408,B00005AAA9,A1AXHNRDJEQ0B,5.0,"04 9, 2003"
434597,6304744404,A2SGR7LE899LGG,4.0,"10 13, 2002"
763410,B0000AI421,A185QFJRTB5W93,3.0,"03 28, 2008"
67165,0783237413,AETU6WZAUMX53,1.0,"10 27, 2011"
259543,6301647734,ALR35EFI69S5R,5.0,"09 24, 2002"
1186396,B001ER4CSO,A1U6XPYATU9OPG,5.0,"10 29, 2012"
602911,B00005JLPK,A39IBJB2PBVC7I,5.0,"09 16, 2006"
226240,6300247236,ANCOMAI0I7LVG,3.0,"02 24, 2009"
56480,0783226799,A1RP6YCOS5VJ5I,5.0,"05 20, 2006"
1531979,B007K3JCAE,A106RL7ZB0N5W8,5.0,"02 28, 2013"
585682,B00005JKDQ,AQ6SV7LDSMGBE,5.0,"09 24, 2002"
656484,B00005JPSE,AIMR915K4YCN,5.0,"07 16, 2011"
650743,B00005JPGO,A3DY46ZABF4CMQ,4.0,"01 15, 2007"
633500,B00005JNP1,A2CGWWK1XD2AND,5.0,"02 6, 2005"
944634,B000BKVQTS,AK0D7CDKE1SZ1,4.0,"05 30, 2013"
1138795,B0012QCZ5O,A1P7O2PAA8H1DD,2.0,"10 23, 2009"
657473,B00005JPTK,A5TZXWU8AALIC,4.0,"06 18, 2008"
622524,B00005JMUK,A2TAPSNKK9AFSQ,5.0,"06 11, 2005"
1241818,B001UV4XRY,A3LZGLA88K0LA0,3.0,"06 7, 2010"
851531,B0002YLCFQ,A17ZLLUYLS1YYO,1.0,"10 3, 2004"
708003,B000069I1B,A20ZFWGBY4REFX,5.0,"10 23, 2002"
1325503,B0034G4P94,A1XT8AJB7S9JJG,4.0,"12 18, 2011"
1468371,B005LAIH2W,A18TSDA9ZRLKVM,5.0,"05 30, 2012"
93484,0790729989,ANCOMAI0I7LVG,5.0,"04 16, 2008"
1451686,B0059XTUVI,AB1CKA6B849SP,5.0,"08 2, 2012"
1199484,B001H5X7I4,A3II1ACACC5MTX,3.0,"01 28, 2009"
1092740,B000TZJBP6,A34PAZQ73SL163,4.0,"12 28, 2007"
497192,B00000F31K,AFLQGO7CJVK50,3.0,"04 14, 2010"
1098574,B000V4UH08,AIMR915K4YCN,5.0,"09 25, 2009"
1098579,B000V4UH08,A21VGNU5959O85,5.0,"01 7, 2008"
72704,0784010188,A161ANWB62G3M8,5.0,"08 9, 2008"
14895,0767819438,ADKA2MJQQCMTO,2.0,"11 10, 2003"
37425,0780630858,AZSN1TO0JI87B,4.0,"03 27, 2001"
1401865,B004EPYZUS,A187O3DQN82H8X,4.0,"07 13, 2013"
904403,B0009ETCVA,A1DRKVXO300RUE,4.0,"05 6, 2009"
1306348,B002ZG9864,A3M6RVUVZOQZLB,5.0,"05 25, 2014"
707146,B000069HQ1,A2TAPSNKK9AFSQ,5.0,"05 25, 2005"
171569,1415725659,ALIHO7BMAD8L0,5.0,"07 6, 2006"
1239742,B001UV4XEM,AQI3ZP58EJR0G,5.0,"10 29, 2009"
376677,6303471587,A2JDYUSI2RILEB,4.0,"05 24, 2012"
885611,B0007P0XBO,A19ZXK9HHVRV1X,2.0,"07 15, 2005"
156411,0792846338,A27N1ETXFT9BHI,5.0,"08 20, 2013"
520314,B00003CWT6,AD2BIAIH78QI5,3.0,"04 23, 2002"
64519,0783233078,A3UA046AA3DXFD,5.0,"09 12, 2009"
1099435,B000V6YROS,AW99SBGWEXP0J,4.0,"06 23, 2007"
524912,B00003CXHJ,A36AH31X84FIC8,5.0,"06 17, 2007"
456127,6305252564,A2TXR85WQLE32N,5.0,"03 8, 2008"
153880,0792845730,AI46E73DWKD2B,5.0,"12 1, 2009"
210536,6300214087,AIMR915K4YCN,5.0,"02 11, 2004"
513279,B000021Y74,A1TJIJKKN15KR9,5.0,"05 12, 2002"
897455,B00080ZFZW,AER15RIMV8E6D,5.0,"10 16, 2008"
822141,B00022XE6S,A1L8HRCM60W0W7,5.0,"07 22, 2008"
510764,B00001IVFE,A228JH8V9Y700G,4.0,"12 5, 2013"
652868,B00005JPLW,A2R164STV36F6C,5.0,"12 26, 2012"
635853,B00005JNTU,A3LZBOBV9H1HDV,5.0,"07 11, 2005"
277751,6301966554,A1M9DQDGE07Q0U,3.0,"10 7, 2003"
894093,B0007Y08I8,A1V3IO23FZFF9L,4.0,"10 17, 2004"
516263,B000035P81,ATZ1LTONGHOP6,4.0,"05 12, 2008"
125686,079213690X,A3R8PXSFGY9MC2,5.0,"01 8, 2011"
641329,B00005JOIH,A31U2QT7SAL7K,5.0,"07 31, 2006"
728544,B00007G1ZB,A2GANR9I6XHTU9,1.0,"02 4, 2003"
951696,B000BW7QWW,A13UAIE3K517CQ,4.0,"12 18, 2009"
616611,B00005JMCT,A11XKY4EIU2KNR,2.0,"10 31, 2004"
160978,0800105141,A1S8AJIUIO6M9K,5.0,"08 25, 2004"
597531,B00005JLBE,A37BTU85F17716,5.0,"06 28, 2014"
155755,079284629X,A38AXXL7DMVFMQ,4.0,"09 9, 2002"
582993,B00005JCCC,A32ZOSZVX052IJ,5.0,"08 7, 2013"
127824,0792151712,A2UZLIH3BSGJ3N,1.0,"11 21, 2004"
880054,B0007CNXUK,A9Q28YTLYREO7,4.0,"03 28, 2005"
1241436,B001UV4XIS,AG8U6F6226GBZ,1.0,"11 19, 2011"
49954,0783222734,A39CX0EE4BZCZC,5.0,"03 3, 2009"
609630,B00005JLYW,AZOW89D0NXMUT,5.0,"06 27, 2003"
945392,B000BNI90Y,A3KEZLJ59C1JVH,5.0,"07 4, 2006"
924102,B000A8NZ0O,AVF60NZ99H9D5,2.0,"01 1, 2007"
823375,B00023P4HY,AT6CZDCP4TRGA,4.0,"08 18, 2004"
1220850,B001NPD9RM,A3B9XTIDLP6BKN,4.0,"06 5, 2014"
84399,0788860704,A1Z2ZN39LL07GI,5.0,"06 23, 2012"
679537,B00005RHGK,A3I69IXPTDVKQF,5.0,"06 17, 2006"
1190525,B001FB55KI,A2I0X28L5E42VU,5.0,"05 6, 2010"
1128585,B0010ZR160,A1GN8UJIZLCA59,4.0,"10 1, 2008"
343280,6302878616,A2PV6GK1HV54Y9,5.0,"09 29, 2008"
1415888,B004LWZW4M,A3DZCNEU21MB6L,5.0,"06 24, 2012"
794251,B00016MSV2,A2A6NH6DPE0VXR,4.0,"03 18, 2004"
1562296,B008JFUPFI,A1V666Y9QXUUWP,4.0,"03 22, 2014"
657573,B00005JPUN,AIMR915K4YCN,4.0,"10 23, 2008"
1028133,B000JLTR8Q,A35ZK3M8L9JUPX,5.0,"03 13, 2010"
1305344,B002ZG980U,A2LB4FLRZG6CUV,4.0,"01 4, 2012"
1180730,B001DHXT1G,A17LSEN4UY4XZQ,3.0,"12 3, 2008"
484816,630595805X,A36L1F0YECOAW8,5.0,"02 19, 2001"
525188,B00003CXHR,AWG2O9C42XW5G,5.0,"03 11, 2013"
29391,0780619412,A2SE6UQ1C890AJ,3.0,"07 12, 2001"
896204,B0007Z2556,AK1OBVI54SY73,3.0,"06 26, 2005"
17931,0767825411,A1S1O3YT8NS68A,5.0,"05 23, 2003"
275553,6301963911,A3S98L5B1SR9P1,5.0,"06 28, 2005"
636768,B00005JNZU,AYWAY5MKLAITN,5.0,"03 19, 2006"
952314,B000BX8R10,A3NCIN6TNL0MGA,5.0,"08 7, 2005"
648772,B00005JPCF,A3C6CZC2JP67VK,3.0,"12 29, 2006"
860488,B00064MW6A,A2B8DJ0CKN9FAO,3.0,"01 18, 2005"
67967,0783239408,A23IOPI0D1OG7V,5.0,"07 7, 2001"
1242856,B001V7UTV6,AHIK7BUXFRMT8,4.0,"06 15, 2014"
533726,B00003CXR3,A1VCLTAGM5RLND,5.0,"08 26, 2005"
626581,B00005JN2Z,A2CK0VXUDVXGMN,2.0,"05 26, 2005"
633956,B00005JNQG,A2EDZH51XHFA9B,4.0,"03 10, 2005"
818057,B0001Z52RU,A328547P5BGZC,5.0,"01 27, 2004"
600814,B00005JLGL,A1C9GCHR99WX3F,5.0,"12 22, 2002"
755106,B00009MGEM,A82LIVYSX6WZ9,1.0,"10 17, 2003"
50818,0783222955,A3M0YP958H2KRX,5.0,"08 26, 2005"
616289,B00005JMCN,A2EL3990HXOMZB,4.0,"05 4, 2004"
545950,B00003OSTQ,A37BTU85F17716,5.0,"09 12, 2013"
644983,B00005JP0F,A19ZXK9HHVRV1X,2.0,"01 6, 2007"
97384,079073155X,A2GPEV42IO41CI,2.0,"05 1, 2002"
137701,0792837096,A1DAOL3NMHEPLS,5.0,"07 27, 2006"
484422,6305951446,A2CT2SA6KFE8GC,5.0,"10 31, 2007"
597197,B00005JL98,A2AHI9YY06CP70,4.0,"07 7, 2008"
423406,6304457324,A129YBX5BVNW2,5.0,"05 24, 2012"
1024590,B000J3OTO6,A1K3NQAO49LXL2,2.0,"01 23, 2012"
1482532,B005LAII58,A1S1BJFTA644TU,2.0,"12 4, 2012"
146461,0792841344,AK7D1BHZOSOL1,5.0,"02 28, 2003"
603600,B00005JLQN,AWG2O9C42XW5G,5.0,"05 10, 2010"
1273912,B002K0WBXW,AG8U6F6226GBZ,1.0,"11 22, 2009"
336549,6302800897,ANGH6401L9Y0T,4.0,"05 21, 2012"
642046,B00005JOL4,A2CDMCG1Z84A51,3.0,"09 23, 2006"
435571,6304779607,AP839YM0XJ664,4.0,"05 9, 2005"
1200783,B001HN6922,A2ZZAPED8DHL07,4.0,"03 13, 2012"
95103,0790731029,A1BE1OKY80FUBH,5.0,"02 28, 2007"
1138492,B0012Q732O,A1QFQ9SQZVGUK4,1.0,"06 24, 2008"
608345,B00005JLXE,AJKWF4W7QD4NS,3.0,"08 6, 2003"
946296,B000BO0LH2,A3LZBOBV9H1HDV,5.0,"07 23, 2005"
1599441,B009MO5E10,A10H47FMW8NHII,4.0,"10 6, 2012"
622975,B00005JMWP,A2B3Z2QHW3V35S,5.0,"07 4, 2012"
622950,B00005JMWP,A2F3M93RRLFQNJ,2.0,"09 3, 2004"
11733,0767812778,A1E6JS6C205VZD,4.0,"06 23, 2013"
93977,0790729997,A1UFY2YWV81UZB,5.0,"05 16, 2013"
488397,7883706837,A2I6MHMAZZDCRX,4.0,"11 18, 2008"
1136377,B0012DUT3M,A25JH6CO4DVINS,1.0,"09 5, 2008"
1629803,B00BEIYLO8,A228AAQ2F4L3M3,2.0,"10 5, 2013"
765066,B0000AMRUL,A2I7ZAB04Q0DML,3.0,"10 28, 2003"
57448,0783226985,A3LXKO2S6G2DBI,3.0,"08 7, 2002"
741207,B00008EY9G,A2X27FQSHP418Y,1.0,"05 3, 2004"
535960,B00003CXSP,A72S4SWJWIBCV,4.0,"02 26, 2002"
132455,079216587X,A2C5LA07JCDWTN,2.0,"05 20, 2000"
888189,B0007R4T3U,ACCZJHQKB7S9A,5.0,"07 31, 2005"
412838,630428845X,A1D1MIFRSG50Y3,3.0,"03 4, 2013"
198488,6300181278,A1G5Q9HBN0EGDV,5.0,"02 11, 2007"
594239,B00005JL2O,A1YHQ1JWEJK6BI,4.0,"01 28, 2003"
276781,6301966066,AVF60NZ99H9D5,3.0,"08 3, 2008"
92553,0790729717,A1ER6IYOMM8VCT,5.0,"09 2, 2007"
119874,0790749653,A2CW9IQAPFEYLM,5.0,"08 30, 2005"
367377,6303265774,A3IMNZSYDOTTU6,5.0,"10 28, 2005"
221717,6300216500,A3HLUNEJUT3MSP,5.0,"03 26, 2004"
360199,6303149200,A3FUBUJAIGM87T,1.0,"01 18, 2007"
1117612,B000YABYLA,A3572FTYUQQW3P,5.0,"01 4, 2008"
1681097,B00GST8U4U,A4PPZNQF1X2IY,4.0,"03 20, 2014"
1101858,B000VIRD6U,A293HA28PN3VO4,4.0,"06 15, 2008"
437400,6304844948,A2OU415LB9I5J6,3.0,"01 5, 2012"
1189502,B001FB55H6,A27VY7BUVD09I2,5.0,"03 6, 2009"
190014,157362408X,A1L43KWWR05PCS,3.0,"06 26, 2005"
162869,0800130227,A1G9FX1KV45N41,5.0,"11 9, 2003"
946161,B000BO0LH2,A2VMT89TCSF105,5.0,"07 24, 2011"
1479208,B005LAII12,A3QLAOOTFEHCJI,4.0,"06 29, 2012"
1343259,B003FBNJ4U,AYWSFRCIMOAYE,3.0,"09 17, 2010"
1240707,B001UV4XHY,A34GZPHWYPSY2T,4.0,"04 15, 2011"
1214689,B001LLH8S4,A19ZXK9HHVRV1X,2.0,"04 4, 2009"
170410,1415720584,A3DGVB3T5QJNRE,1.0,"12 3, 2005"
709306,B00006AGHD,A1D2ZN57YG2NMH,4.0,"11 16, 2005"
227905,6300248143,A1TK6R2JSC97HL,5.0,"05 2, 2001"
607337,B00005JLWN,A3AR0CHEIYQB9Q,1.0,"05 24, 2011"
1207873,B001KEHAG2,A2FRKEXDXDN1KI,5.0,"01 24, 2009"
8935,076780922X,A10ODC971MDHV8,5.0,"07 11, 2007"
544601,B00003CYLJ,A1IANEBSMVGHS9,5.0,"05 11, 2003"
1495298,B005N4DMMG,A3SS6VRWCTB7V,2.0,"05 10, 2012"
584534,B00005JKC3,A3CN9CCJUNIPKT,4.0,"11 16, 2003"
379898,630356643X,A1HMBIRR0RJ1NI,5.0,"02 6, 2012"
538527,B00003CXWI,A19ZXK9HHVRV1X,2.0,"11 17, 2001"
939927,B000BBOUUE,A2EIK4L9730WWJ,5.0,"12 9, 2005"
98613,0790731983,AGNOPNCN6FHB6,2.0,"02 6, 2013"
76819,0784011923,A1ZO30Z16MQ7Y7,5.0,"12 31, 2003"
290434,6302010306,AJXPU0XOW4B2S,3.0,"07 18, 2012"
894334,B0007Y08I8,A2TZKXU6Q0EDNP,1.0,"07 9, 2005"
52353,0783225482,AW4MT9WP95TVD,4.0,"01 1, 2007"
533076,B00003CXQR,A3V61K0EF38GP4,3.0,"06 30, 2014"
897472,B00080ZG10,A18BD98SU49UB7,5.0,"04 11, 2005"
1074268,B000Q6GUT8,A30TK6U7DNS82R,5.0,"06 22, 2007"
1027928,B000JLTR8Q,A1K2ZXT12U5RQK,4.0,"01 27, 2013"
209114,6300213803,AMG2LF8MLUDN1,5.0,"11 2, 2004"
89005,0790729385,A2R1HAXRNU0QX7,5.0,"11 11, 2008"
1450248,B0059XTU3G,ACCZJHQKB7S9A,5.0,"05 8, 2014"
1099375,B000V6YROS,ABFOAYZA2UHD3,5.0,"09 4, 2007"
1522211,B006X040NY,A16C1J5AW2CDRE,5.0,"02 6, 2013"
31897,0780622588,A2PV6GK1HV54Y9,5.0,"09 22, 2007"
463395,6305417806,A10ODC971MDHV8,5.0,"07 11, 2007"
649765,B00005JPFH,A3KY68OTSNHM3G,5.0,"01 11, 2008"
863719,B00068S404,A2NJO6YE954DBH,4.0,"01 16, 2005"
395930,6304014457,A2BLITJITO97N5,3.0,"12 19, 2001"
484911,630595805X,A1S5B32WYMEE44,4.0,"09 14, 2002"
1070117,B000PE0G0A,A1COW0UIB5HA9J,4.0,"03 24, 2009"
1204821,B001IZNIZU,A2AV7Q95QGPTO0,2.0,"02 3, 2009"
367055,6303265693,A3FUBUJAIGM87T,2.0,"05 8, 2005"
1380905,B0041KKYEM,A3LZBOBV9H1HDV,5.0,"01 1, 2011"
1481926,B005LAII58,A32REOF0TXYKNL,3.0,"02 9, 2014"
276783,6301966066,A3JJ21YCMGSKGH,5.0,"01 21, 2014"
539820,B00003CXXM,A3MCQSIBV7QW8Q,5.0,"07 19, 2002"
800556,B0001CNRRU,AUM3YMZ0YRJE0,5.0,"07 25, 2005"
767148,B0000AQS18,A1BBT9XLKQDV81,4.0,"12 9, 2003"
129494,0792157648,A2VP7JOT3K7PFM,5.0,"05 17, 2014"
70261,0783241399,ANBEJO2TLASQX,5.0,"05 15, 2014"
1229225,B001PR0Y4O,A2I6MHMAZZDCRX,5.0,"12 2, 2009"
1624001,B00BB67UNW,A8Y5B4E1LG4G1,4.0,"09 6, 2013"
125039,0792116887,A26JGAM6GZMM4V,5.0,"07 24, 2003"
1391104,B004A8ZWUQ,A6AOLZK82A67C,5.0,"09 5, 2013"
79843,0788811355,A1M9DQDGE07Q0U,3.0,"07 6, 2004"
799131,B0001BKAEE,A2I4IQP3E553CV,5.0,"04 9, 2004"
625673,B00005JN0T,A3VQSFORKH8B7O,4.0,"02 27, 2005"
613761,B00005JM5E,A2CU4L3OK00M23,5.0,"01 2, 2008"
792423,B00013RC2K,A1ZS82R4RC0I2N,3.0,"04 5, 2004"
925607,B000AARKO4,A3572FTYUQQW3P,3.0,"09 3, 2006"
795597,B00018U9FW,A1ARQYFYXAL4I,4.0,"06 30, 2005"
1218212,B001MYIXAC,A2H44WVZS59KKT,3.0,"03 22, 2011"
536378,B00003CXT7,AY12DBB0U420B,3.0,"08 30, 2012"
